"","�..HALTER_ID","ALTER","GESCHLECHT","STADTKREIS","STADTQUARTIER","RASSE1","RASSE2","GEBURTSJAHR_HUND","GESCHLECHT_HUND","HUNDEFARBE"
"2467",93421,"41-50","m",11,115,"Beagle","",2007,"m","tricolor"
"2468",93435,"51-60","w",5,51,"Mischling klein","",2006,"m","braun/schwarz"
"2469",93449,"61-70","w",8,83,"Zwergpudel","",2008,"w","choco"
"2470",93463,"51-60","w",7,74,"Weimaraner","",2007,"m","silbergrau"
"2471",93480,"51-60","m",5,51,"Chihuahua","",2008,"w","creme"
"2472",93496,"31-40","w",11,115,"Mischling gross","",2009,"m","braun"
"2473",93496,"31-40","w",11,115,"Beagle","",2008,"m","tricolor"
"2474",93500,"41-50","w",9,92,"Yorkshire Terrier","",2008,"m","grau/braun"
"2475",93508,"41-50","w",10,101,"Mischling klein","",2008,"w","gelb"
"2476",93527,"61-70","w",9,91,"Mops","",2008,"w","beige/schwarz"
"2477",93531,"41-50","w",3,33,"Zwergpinscher","",2008,"m","schwarz/rot"
"2478",93540,"51-60","w",5,51,"Mops","Beagle",2014,"w","schwarz"
"2479",93553,"31-40","m",5,52,"Saarloos-Wolfshund","",2008,"m","braun"
"2480",93615,"31-40","m",6,63,"Jack Russel Terrier","",2000,"m","braun/weiss"
"2481",93664,"61-70","w",7,74,"Dachshund","",2006,"w","schwarz/rot"
"2482",93664,"61-70","w",7,74,"Dachshund","",2010,"w","schwarz/rot"
"2483",93667,"51-60","w",3,34,"Cairn Terrier","",2010,"w","rot"
"2484",93675,"51-60","w",7,72,"Dalmatiner","",2006,"m","weiss/schwarz"
"2485",93676,"51-60","w",9,91,"Golden Retriever","",2008,"w","golden"
"2486",93678,"51-60","w",2,21,"West Highland White Terrier","",2003,"m","weiss"
"2487",93707,"61-70","w",6,61,"Bolonka Zwetna","",2015,"m","rot/braun"
"2488",93722,"61-70","w",3,31,"Foxterrier","",2008,"m","tricolor"
"2489",93729,"51-60","m",4,42,"Lagotto Romagnolo","",2008,"w","braun meliert"
"2490",93800,"31-40","w",6,63,"Australian Shepherd","",2008,"m","braun"
"2491",93800,"31-40","w",6,63,"Belgischer Schäfer","",2015,"m","schwarz"
"2492",93859,"31-40","m",12,123,"Australian Shepherd","",2007,"m","tricolor"
"2493",93872,"31-40","w",10,101,"Schäfer","Englische Bulldogge",2007,"w","weiss/braun"
"2494",93900,"51-60","w",10,101,"Schnauzer","",2008,"m","weiss/schwarz"
"2495",93904,"41-50","w",3,34,"Malteser","Havaneser",2010,"w","schwarz/braun"
"2496",93909,"41-50","m",7,73,"Französische Bulldogge","",2012,"m","braun gestromt"
"2497",93909,"41-50","m",7,73,"Französische Bulldogge","",2015,"m","weiss/schwarz"
"2498",93911,"31-40","w",3,31,"Französische Bulldogge","",2008,"w","fauve"
"2499",93929,"61-70","w",3,34,"Mischling klein","",2006,"w","beige/weiss"
"2500",93945,"61-70","w",12,122,"Pinscher","",2011,"w","braun"
"2501",93945,"61-70","w",12,122,"Chihuahua","",2007,"w","blue merle/weiss"
"2502",93965,"51-60","m",9,92,"Mischling klein","",2008,"m","braun"
"2503",94017,"61-70","w",11,111,"Bolonka Zwetna","",2010,"m","grau"
"2504",94020,"31-40","w",10,101,"Mischling klein","",2006,"w","braun"
"2505",94059,"31-40","w",6,63,"Labrador Retriever","",2006,"w","braun"
"2506",94085,"31-40","m",4,44,"Old Englische Bulldogge","",2008,"w","braun/weiss"
"2507",94100,"51-60","w",4,42,"Mischling klein","",2009,"m","braun/schwarz/weiss"
"2508",94143,"31-40","w",7,73,"Mischling klein","",2008,"w","grau/schwarz"
"2509",94160,"51-60","w",9,92,"Mischling klein","",2008,"w","schwarz"
"2510",94222,"41-50","w",12,122,"Shih Tzu","",2013,"m","weiss"
"2511",94285,"51-60","w",10,101,"West Highland White Terrier","",2007,"m","weiss"
"2512",94290,"71-80","m",7,72,"Golden Retriever","",2008,"w","blondfarben"
"2513",94301,"51-60","w",3,31,"Pinscher","",2015,"m","braun"
"2514",94302,"41-50","w",6,63,"Labrador Retriever","Golden Retriever",2008,"m","schwarz"
"2515",94308,"51-60","w",11,115,"Zwergspitz","",2008,"w","orange"
"2516",94333,"51-60","w",11,115,"Appenzeller","",2008,"w","schwarz/braun/weiss"
"2517",94348,"51-60","m",11,115,"Pekingese","",2014,"m","beige/schwarz"
"2518",94383,"71-80","w",10,102,"Rehpinscher","",2003,"w","schwarz/braun"
"2519",94388,"31-40","w",7,74,"Rhodesian Ridgeback","",2008,"w","rotblond"
"2520",94410,"41-50","m",9,92,"Jack Russel Terrier","",2008,"w","tricolor"
"2521",94410,"41-50","m",9,92,"Mischling klein","",2009,"m","blondfarben"
"2522",94433,"51-60","w",8,82,"Mischling klein","",2002,"m","braun/schwarz"
"2523",94435,"41-50","w",3,34,"Yorkshire Terrier","",2008,"m","schwarz"
"2524",94436,"41-50","w",11,119,"Mischling klein","",2000,"w","schwarz/weiss"
"2525",94461,"71-80","m",6,63,"Labrador Retriever","",2008,"w","braun"
"2526",94465,"31-40","m",5,52,"Border Collie","",2007,"m","schwarz/weiss"
"2527",94477,"61-70","w",8,81,"Chihuahua","",2009,"m","black/tan"
"2528",94490,"61-70","w",2,24,"Border Terrier","",2015,"m","blue/tan"
"2529",94493,"21-30","w",9,91,"Yorkshire Terrier","",2007,"m","schwarz/grau"
"2530",94514,"41-50","m",1,11,"Zwergdackel","",2010,"m","rot"
"2531",94599,"31-40","w",12,121,"Chihuahua","",2009,"m","weiss/braun"
"2532",94617,"41-50","w",2,23,"Lagotto Romagnolo","",2008,"w","weiss/braun"
"2533",94618,"51-60","w",7,74,"Jack Russel Terrier","",2008,"w","tricolor"
"2534",94622,"61-70","m",7,71,"Collie","",2006,"w","rot/weiss"
